0,-400,-400
0.7,-390,-390
1.3,-380,-380
2.4,-370,-370
3.1,-360,-360
4.6,-350,-350
5.3,-340,-340
6.45,-330,-330
8.11,-320,-320
9.5,-310,-310
10.1,-300,-300
11,-290,-290
11.5,-280,-280
11.9,-270,-270
14,-260,-260
17,-250,-250
21,-240,-240
23,-230,-230
24,-220,-220
24.6,-210,-210
24.8,-200,-200
25,-190,-190
25.1,-180,-180
25.3,-170,-170
25.6,-160,-160
25.7,-150,-150
26,-140,-140
27,-130,-130
28,-120,-120
29,-110,-110
30,-100,-100
31,-90,-90
32,-80,-80
33,-70,-70
34,-60,-60
35,-50,-50
36,-40,-40
37,-30,-30
38,-20,-20
39,-10,-10
40,0,0
